"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"12606","MRNIP",1.49659070726965,6.18478272559792,40.7535711654881,1.31635168335145e-07,"B7Z1T6","B7Z1T6","unreviewed","B7Z1T6_HUMAN","MRN complex-interacting protein (cDNA FLJ56341)","MRNIP","","MRNIP","","","","ENST00000518235.5;",1.44621199548432e-05
"12653","MRPL52",0.445600060028148,6.26790097049076,15.7085183232756,0.000130999330518144,"Q86TS9","Q86TS9","reviewed","RM52_HUMAN","39S ribosomal protein L52, mitochondrial (L52mt) (MRP-L52) (Mitochondrial large ribosomal subunit protein mL52)","MRPL52","","MRPL52","mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; translation [GO:0006412]","","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:28892042}.","ENST00000355151.9 [Q86TS9-1];ENST00000397496.7 [Q86TS9-3];ENST00000397505.2 [Q86TS9-4];ENST00000553711.5 [Q86TS9-2];ENST00000555345.5 [Q86TS9-2];ENST00000556840.5 [Q86TS9-2];",0.00485193732502429
"12679","MRPS30",0.418222955233754,6.81322579108198,14.9351585433133,0.000187666390172003,"Q9NP92","Q9NP92","reviewed","RT30_HUMAN","39S ribosomal protein S30, mitochondrial (MRP-S30) (S30mt) (Mitochondrial large ribosomal subunit protein mL65) (Mitochondrial large ribosomal subunit protein mS30) (Programmed cell death protein 9)","MRPS30 PDCD9 BM-047","","MRPS30","mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; apoptotic process [GO:0006915]; mitochondrial translation [GO:0032543]","","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11279123, ECO:0000269|PubMed:28892042}.","ENST00000507110.6;",0.00640489341396805
"12723","MT-ATP6",-0.725006182493398,12.9977862940727,56.8656575169849,6.53699755296935e-11,"P00846","P00846","reviewed","ATP6_HUMAN","ATP synthase subunit a (F-ATPase protein 6)","MT-ATP6 ATP6 ATPASE6 MTATP6","FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Key component of the proton channel; it may play a direct role in the translocation of protons across the membrane.","MT-ATP6","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; aging [GO:0007568]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to hyperoxia [GO:0055093]","","SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.","ENST00000361899.2;",1.75119896090231e-08
"12724","MT-ATP8",-1.18205296265138,11.2807569277384,31.2401705731817,1.74753739760114e-06,"P03928","P03928","reviewed","ATP8_HUMAN","ATP synthase protein 8 (A6L) (F-ATPase subunit 8)","MT-ATP8 ATP8 ATPASE8 MTATP8","FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane (By similarity). {ECO:0000250}.","MT-ATP8","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]","","SUBCELLULAR LOCATION: Mitochondrion membrane; Single-pass membrane protein.","ENST00000361851.1;",0.000131441697490338
"12725","MT-CO1",-0.37317771794695,11.003955147269,17.141477653378,6.78360564750568e-05,"P00395","P00395","reviewed","COX1_HUMAN","Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)","MT-CO1 COI COXI MTCO1","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00401}.","MT-CO1","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrial respiratory chain complex IV [GO:0005751]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; aging [GO:0007568]; cellular respiration [GO:0045333]; cerebellum development [GO:0021549]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory electron transport chain [GO:0022904]; response to copper ion [GO:0046688]; response to electrical stimulus [GO:0051602]; response to oxidative stress [GO:0006979]","Q9Y2R0; P13073; Q9BVV7","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.","ENST00000361624.2;",0.00287143272819526
"12726","MT-CO2",-1.13112263591684,11.6832921517068,150.252391152145,2.28403059100037e-22,"P00403","P00403","reviewed","COX2_HUMAN","Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)","MT-CO2 COII COX2 COXII MTCO2","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00410}.","MT-CO2","integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; ATP synthesis coupled electron transport [GO:0042773]; cellular respiration [GO:0045333]; lactation [GO:0007595]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of necrotic cell death [GO:0010940]; response to cold [GO:0009409]","Q9NZ94-2; P49281-3","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.","ENST00000361739.1;",6.38092889108617e-19
"12727","MT-CO3",-0.997133041589715,12.3278637207992,122.283159801174,1.28451216721552e-19,"P00414","P00414","reviewed","COX3_HUMAN","Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)","MT-CO3 COIII COXIII MTCO3","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00420}.","MT-CO3","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; electron transfer activity [GO:0009055]; oxidoreduction-driven active transmembrane transporter activity [GO:0015453]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory chain complex IV assembly [GO:0008535]","P37840","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.","ENST00000362079.2;",1.56999499637917e-16
"12728","MT-CYB",-0.733355012592309,11.5870600706108,30.1623938578332,2.15884997145344e-06,"P00156","P00156","reviewed","CYB_HUMAN","Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)","MT-CYB COB CYTB MTCYB","FUNCTION: Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis. {ECO:0000250|UniProtKB:P00157}.","MT-CYB","integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]","","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00157}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P00157}.","ENST00000361789.2;",0.000154082007451618
"12731","MT-ND3",-0.630441309541839,12.4151414862412,50.6293742715031,1.15769227464097e-10,"P03897","P03897","reviewed","NU3M_HUMAN","NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)","MT-ND3 MTND3 NADH3 ND3","FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:25118196). Essential for the catalytic activity of complex I (PubMed:25118196). {ECO:0000269|PubMed:25118196}.","MT-ND3","mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]; cellular response to glucocorticoid stimulus [GO:0071385]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to light intensity [GO:0009642]; response to oxidative stress [GO:0006979]","PRO_0000000092 [P05067]","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03898}; Multi-pass membrane protein {ECO:0000255}.","ENST00000361227.2;",2.94023767829595e-08
"12732","MT-ND4",-0.608551159000248,12.2291444639195,36.8309374358391,5.64575755167359e-08,"P03905","P03905","reviewed","NU4M_HUMAN","NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)","MT-ND4 MTND4 NADH4 ND4","FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:8644732, PubMed:8344246, PubMed:15250827). Essential for the catalytic activity and assembly of complex I (PubMed:8644732, PubMed:8344246, PubMed:15250827). {ECO:0000269|PubMed:15250827, ECO:0000269|PubMed:8344246, ECO:0000269|PubMed:8644732}.","MT-ND4","mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; aging [GO:0007568]; cerebellum development [GO:0021549]; electron transport coupled proton transport [GO:0015990]; in utero embryonic development [GO:0001701]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]","","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03910}; Multi-pass membrane protein {ECO:0000255}.","ENST00000361381.2;",7.07746376157235e-06
"12734","MT-ND5",-0.870912338452012,10.3482919726752,31.5847036230463,1.5694184349396e-06,"P03915","P03915","reviewed","NU5M_HUMAN","NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)","MT-ND5 MTND5 NADH5 ND5","FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:15250827). Essential for the catalytic activity and assembly of complex I (PubMed:15250827). {ECO:0000269|PubMed:15250827}.","MT-ND5","mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; neuron projection [GO:0043005]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to organonitrogen compound [GO:0010243]","","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03920}; Multi-pass membrane protein {ECO:0000255}.","ENST00000361567.2;",0.000120349071641733
"12738","MT2A",0.486564654652336,9.95179203602471,19.8554170775849,3.3864128697106e-05,"P02795","P02795","reviewed","MT2_HUMAN","Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)","MT2A CES1 MT2","FUNCTION: Metallothioneins have a high content of cysteine residues that bind various heavy metals; these proteins are transcriptionally regulated by both heavy metals and glucocorticoids.","MT2A","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]; cellular copper ion homeostasis [GO:0006878]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to erythropoietin [GO:0036018]; cellular response to interleukin-3 [GO:0036016]; cellular response to zinc ion [GO:0071294]; cellular zinc ion homeostasis [GO:0006882]; detoxification of copper ion [GO:0010273]; negative regulation of growth [GO:0045926]","P02649; Q96A83-2; O14645; Q8TE69; P21333-2; P42858; Q9UMF0; O14901; P31153; Q9BVL2; D3DTS7; Q15139; P37840; P14678-2; P58062","","ENST00000245185.6;",0.0016191855765296
"12742","MTAP",-0.68110128371483,6.30855622628526,34.247736311258,4.98924147815537e-08,"F8WES2","F8WES2","unreviewed","F8WES2_HUMAN","S-methyl-5'-thioadenosine phosphorylase","MTAP","","MTAP","S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]; nucleoside metabolic process [GO:0009116]","","","ENST00000419385.5;",6.37709845403963e-06
"12765","MTHFD1L",0.714356360988593,6.10023305383354,35.2906570659088,3.31829694612975e-08,"Q6UB35","Q6UB35","reviewed","C1TM_HUMAN","Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)","MTHFD1L FTHFSDC1","FUNCTION: May provide the missing metabolic reaction required to link the mitochondria and the cytoplasm in the mammalian model of one-carbon folate metabolism complementing thus the enzymatic activities of MTHFD2. {ECO:0000250, ECO:0000269|PubMed:16171773}.","MTHFD1L","cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; formate-tetrahydrofolate ligase activity [GO:0004329]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; protein homodimerization activity [GO:0042803]; 10-formyltetrahydrofolate biosynthetic process [GO:0009257]; embryonic neurocranium morphogenesis [GO:0048702]; embryonic viscerocranium morphogenesis [GO:0048703]; folic acid-containing compound metabolic process [GO:0006760]; formate metabolic process [GO:0015942]; neural tube closure [GO:0001843]; tetrahydrofolate interconversion [GO:0035999]","","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12937168}.","ENST00000367307.8 [Q6UB35-2];ENST00000367321.8 [Q6UB35-1];",4.4753527640354e-06
"12766","MTHFD2",0.804591505304479,8.95841283609643,61.0268200576,1.46518507435222e-11,"A0A7I2V2G4","A0A7I2V2G4","unreviewed","A0A7I2V2G4_HUMAN","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","MTHFD2","","MTHFD2","","","","ENST00000677377.1;",4.85646768034439e-09
"12800","MTURN",0.81960344898062,4.45392103643849,20.9162917435659,1.25405906377421e-05,"Q8N3F0","Q8N3F0","reviewed","MTURN_HUMAN","Maturin (Maturin neural progenitor differentiation regulator protein homolog) (Protein Ells1)","MTURN C7orf41","FUNCTION: Promotes megakaryocyte differentiation by enhancing ERK and JNK signaling as well as up-regulating RUNX1 and FLI1 expression (PubMed:24681962). Represses NF-kappa-B transcriptional activity by inhibiting phosphorylation of RELA at 'Ser-536' (PubMed:24681962). May be involved in early neuronal development (By similarity). {ECO:0000250|UniProtKB:Q7ZX36, ECO:0000269|PubMed:24681962}.","MTURN","cytoplasm [GO:0005737]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of JNK cascade [GO:0046330]; positive regulation of megakaryocyte differentiation [GO:0045654]; regulation of signaling [GO:0023051]","Q96CW1; Q8N5I2; Q15038; Q9UHC7; Q96CS7; Q04864-2; Q9NWF9; Q9H4P4; P62979; Q16384; Q92537; Q8WW34-2; Q9NS68-2; Q05BL1; Q9Y4K3; O00635; Q9HCM9-2; Q9C035-3; Q9BZR9; P62987; P0CG47; P0CG48","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24681962}.","ENST00000324453.13 [Q8N3F0-1];ENST00000324489.5 [Q8N3F0-3];ENST00000409688.1 [Q8N3F0-4];",0.00070675443951494
"12818","MVD",-1.10787229792314,3.49209290109203,14.7843196361389,0.000201370047626698,"H3BQ47","H3BQ47","unreviewed","H3BQ47_HUMAN","Diphosphomevalonate decarboxylase","MVD","","MVD","","","","ENST00000568133.5;",0.00672012397847732
"12819","MVK",-0.816067282119306,4.59325484231077,16.7323171409904,8.17755014904366e-05,"Q03426","Q03426","reviewed","KIME_HUMAN","Mevalonate kinase (MK) (EC 2.7.1.36)","MVK","FUNCTION: Catalyzes the phosphorylation of mevalonate to mevalonate 5-phosphate, a key step in isoprenoid and cholesterol biosynthesis (PubMed:9325256, PubMed:18302342, PubMed:9392419, PubMed:11278915). {ECO:0000269|PubMed:11278915, ECO:0000269|PubMed:18302342, ECO:0000269|PubMed:9325256, ECO:0000269|PubMed:9392419}.","MVK","cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; peroxisome [GO:0005777]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; mevalonate kinase activity [GO:0004496]; cholesterol biosynthetic process [GO:0006695]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]; isoprenoid biosynthetic process [GO:0008299]; negative regulation of inflammatory response [GO:0050728]; phosphorylation [GO:0016310]","Q03426; Q9NUX5; Q8WVD5","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14730012}. Peroxisome {ECO:0000250|UniProtKB:P17256}.","ENST00000228510.8;ENST00000539575.4;",0.00334561026599786
"12833","MYC",1.32897325788579,5.14530488913303,49.9016956334912,4.60783159016052e-09,"Q14899","Q14899","unreviewed","Q14899_HUMAN","Myc proto-oncogene protein (Myc-related translation/localization regulatory factor) (ORF 114)","MYC MRTL","","MYC","integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nucleoplasmic reticulum [GO:0044195]; rough endoplasmic reticulum [GO:0005791]; eukaryotic initiation factor eIF2 binding [GO:0071074]; mRNA binding [GO:0003729]; positive regulation of translation [GO:0045727]","","","ENST00000641252.1;",8.19188677974355e-07
"12869","MYO10",-0.581536017290241,6.05602575419309,21.0062444137852,1.2055181889394e-05,"Q9HD67","Q9HD67","reviewed","MYO10_HUMAN","Unconventional myosin-X (Unconventional myosin-10)","MYO10 KIAA0799","FUNCTION: Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. MYO10 binds to actin filaments and actin bundles and functions as a plus end-directed motor. Moves with higher velocity and takes larger steps on actin bundles than on single actin filaments (PubMed:27580874). The tail domain binds to membranous compartments containing phosphatidylinositol 3,4,5-trisphosphate or integrins, and mediates cargo transport along actin filaments. Regulates cell shape, cell spreading and cell adhesion. Stimulates the formation and elongation of filopodia. In hippocampal neurons it induces the formation of dendritic filopodia by trafficking the actin-remodeling protein VASP to the tips of filopodia, where it promotes actin elongation. Plays a role in formation of the podosome belt in osteoclasts. {ECO:0000269|PubMed:16894163, ECO:0000269|PubMed:18570893, ECO:0000269|PubMed:27580874}.; FUNCTION: [Isoform Headless]: Functions as a dominant-negative regulator of isoform 1, suppressing its filopodia-inducing and axon outgrowth-promoting activities. In hippocampal neurons, it increases VASP retention in spine heads to induce spine formation and spine head expansion (By similarity). {ECO:0000250|UniProtKB:F8VQB6}.","MYO10","cell cortex [GO:0005938]; cytosol [GO:0005829]; filopodium [GO:0030175]; filopodium membrane [GO:0031527]; filopodium tip [GO:0032433]; lamellipodium [GO:0030027]; myosin complex [GO:0016459]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; plus-end directed microfilament motor activity [GO:0060002]; spectrin binding [GO:0030507]; cytoskeleton-dependent intracellular transport [GO:0030705]; positive regulation of cell-cell adhesion [GO:0022409]; regulation of cell shape [GO:0008360]; regulation of filopodium assembly [GO:0051489]; signal transduction [GO:0007165]","P62158; P27482; P43146; P18084; Q63155","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10984435}. Cell projection, lamellipodium {ECO:0000269|PubMed:10984435}. Cell projection, ruffle {ECO:0000269|PubMed:10984435}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10984435}. Cell projection, filopodium tip {ECO:0000269|PubMed:10984435}. Cytoplasm, cell cortex {ECO:0000269|PubMed:10984435}. Cell projection, filopodium membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=May be in an inactive, monomeric conformation in the cytosol. Detected in cytoplasmic punctae and in cell projections. Colocalizes with actin fibers. Undergoes forward and rearward movements within filopodia. Interacts with microtubules.","ENST00000507288.1 [Q9HD67-2];ENST00000513610.6 [Q9HD67-1];",0.000681361667713839
